"IDSCENARIOS","IDYEARS","REGION_4LETTER","REGION_4LETTER","PM25_SELF","PM25_EXPORT","AP_CONTROL_COSTS_MEUR2015"
"Baseline",2025,"AFGH","AFGH",27.589,1.361,65
"Baseline",2025,"ALBA","ALBA",9.973,0.492,245
"Baseline",2025,"ARGE","ARGE",2.71,0.306,1810
"Baseline",2025,"ARME","ARME",11.071,0.452,31
"Baseline",2025,"AUST","AUST",3.19,2.305,2115
"Baseline",2025,"AUTR","AUTR",2.138,0,6315
"Baseline",2025,"AZER","AZER",4.562,1.208,440
"Baseline",2025,"BANG","BANG",35.082,1.459,292
"Baseline",2025,"BELA","BELA",3.701,1.406,535
"Baseline",2025,"BELG","BELG",3.271,2.554,2678
"Baseline",2025,"BHUT","BHUT",1.551,0.081,12
"Baseline",2025,"BOHE","BOHE",15.447,7.53,658
"Baseline",2025,"BOLV","BOLV",2.461,0.004,169
"Baseline",2025,"BRAZ","BRAZ",6.078,1.32,12932
"Baseline",2025,"BRUN","BRUN",2.106,0.004,50
"Baseline",2025,"BULG","BULG",6.493,2.081,1105
"Baseline",2025,"CAMB","CAMB",4.308,0.167,172
"Baseline",2025,"CANA","CANA",5.226,0.199,14235
"Baseline",2025,"CARB","CARB",3.56,0.138,589
"Baseline",2025,"CEAM","CEAM",6.639,0.022,928
"Baseline",2025,"CHIL","CHIL",12.981,0.14,1502
"Baseline",2025,"CHIN","CHIN",20.669,18.578,201344
"Baseline",2025,"COLO","COLO",6.329,0.025,1711
"Baseline",2025,"CROA","CROA",5.259,2.172,631
"Baseline",2025,"CYPR","CYPR",0.911,0.003,137
"Baseline",2025,"CZRE","CZRE",5.5,3.998,2711
"Baseline",2025,"DENM","DENM",1.653,0.576,1304
"Baseline",2025,"EAFR","EAFR",7.496,0.634,1113
"Baseline",2025,"ECUA","ECUA",3.196,0.007,710
"Baseline",2025,"EGYP","EGYP",11.382,1.416,975
"Baseline",2025,"ESTO","ESTO",1.81,0.093,254
"Baseline",2025,"FINL","FINL",1.296,0.243,1587
"Baseline",2025,"FRAN","FRAN",4.528,8.147,11192
"Baseline",2025,"GEOR","GEOR",8.74,0.337,195
"Baseline",2025,"GERM","GERM",3.738,14.341,15167
"Baseline",2025,"GREE","GREE",4.411,1.057,1320
"Baseline",2025,"HUNG","HUNG",5.172,3.608,1490
"Baseline",2025,"ICEL","ICEL",2.135,0.026,60
"Baseline",2025,"INDI","INDI",33.407,39.466,39411
"Baseline",2025,"INDO","INDO",19.223,2.018,9572
"Baseline",2025,"IRAN","IRAN",21.599,2.037,4424
"Baseline",2025,"IREL","IREL",1.3,0.265,1175
"Baseline",2025,"ISRA","ISRA",11.519,1.031,1682
"Baseline",2025,"ITAL","ITAL",8.146,4.845,9985
"Baseline",2025,"JAPA","JAPA",4.308,0.093,16872
"Baseline",2025,"KAZA","KAZA",33.473,3.912,1700
"Baseline",2025,"KENY","KENY",7.734,0.326,284
"Baseline",2025,"KORN","KORN",4.299,0.949,39
"Baseline",2025,"KORS","KORS",10.818,0.694,7458
"Baseline",2025,"KYRG","KYRG",9.44,1.366,45
"Baseline",2025,"LAOS","LAOS",1.569,0.286,129
"Baseline",2025,"LATV","LATV",3.467,0.259,272
"Baseline",2025,"LITH","LITH",2.466,0.567,694
"Baseline",2025,"LUXE","LUXE",1.285,0.089,261
"Baseline",2025,"MACE","MACE",8.771,0.583,351
"Baseline",2025,"MALA","MALA",12.841,4.918,2267
"Baseline",2025,"MALT","MALT",1.338,0,54
"Baseline",2025,"MEXI","MEXI",9.285,0.051,5976
"Baseline",2025,"MIDE","MIDE",7.932,3.525,4738
"Baseline",2025,"MOLD","MOLD",5.49,0.371,262
"Baseline",2025,"MONG","MONG",15.506,0.071,353
"Baseline",2025,"MONT","MONT",14.294,0.508,84
"Baseline",2025,"MYAN","MYAN",4.252,0.194,335
"Baseline",2025,"NAFR","NAFR",9.343,0.386,1510
"Baseline",2025,"NEPA","NEPA",15.426,0.857,198
"Baseline",2025,"NETH","NETH",2.647,2.066,3366
"Baseline",2025,"NIGE","NIGE",7.92,0.628,402
"Baseline",2025,"NORW","NORW",1.149,0.187,804
"Baseline",2025,"NZEL","NZEL",1.27,0,841
"Baseline",2025,"PAKI","PAKI",39.582,6.825,699
"Baseline",2025,"PARA","PARA",3.338,0.022,159
"Baseline",2025,"PERU","PERU",9.811,0.182,519
"Baseline",2025,"PHIL","PHIL",7.095,0.196,2198
"Baseline",2025,"POLA","POLA",8.018,11.889,9271
"Baseline",2025,"PORT","PORT",3.945,0.106,1261
"Baseline",2025,"ROMA","ROMA",8.451,5.067,3156
"Baseline",2025,"RSAF","RSAF",5.151,0.719,664
"Baseline",2025,"RUSS","RUSS",6.504,5.793,9150
"Baseline",2025,"SAAR","SAAR",3.563,0.73,3856
"Baseline",2025,"SAFR","SAFR",9.375,0.729,3432
"Baseline",2025,"SERB","SERB",11.324,7.531,1061
"Baseline",2025,"SING","SING",6.889,0.184,1035
"Baseline",2025,"SKRE","SKRE",2.638,1.491,674
"Baseline",2025,"SLOV","SLOV",6.361,0.945,543
"Baseline",2025,"SPAI","SPAI",4.521,1.132,7716
"Baseline",2025,"SRIL","SRIL",8.238,0.013,157
"Baseline",2025,"SWED","SWED",1.031,0.447,1323
"Baseline",2025,"SWIT","SWIT",3.506,0.549,1364
"Baseline",2025,"TAIW","TAIW",16.356,0.048,3165
"Baseline",2025,"TAJI","TAJI",9.086,0.986,54
"Baseline",2025,"TANZ","TANZ",6.148,0.456,316
"Baseline",2025,"THAI","THAI",7.44,1.475,4950
"Baseline",2025,"TKME","TKME",4.518,0.434,28
"Baseline",2025,"TURK","TURK",13.156,7.365,7458
"Baseline",2025,"UKRA","UKRA",4.802,7.142,2147
"Baseline",2025,"UNKI","UNKI",3.332,4.013,8223
"Baseline",2025,"URUG","URUG",3.017,0.185,111
"Baseline",2025,"USAM","USAM",5.01,1.671,82449
"Baseline",2025,"UZBE","UZBE",7.611,4.559,407
"Baseline",2025,"VENE","VENE",5.465,0.147,981
"Baseline",2025,"VIET","VIET",13.726,3.225,4518
"Baseline",2025,"WAFR","WAFR",7.505,0.352,1126
"Delayed Action",2025,"AFGH","AFGH",27.589,1.361,NA
"Delayed Action",2025,"ALBA","ALBA",9.973,0.492,NA
"Delayed Action",2025,"ARGE","ARGE",2.71,0.306,NA
